"X"	"Y"
-10	258.7062902907
-9.99	260.181178068384
-9.98	266.496834756862
-9.97	267.858011978074
-9.96	263.500360932595
-9.95	266.691062897519
-9.94	263.173491483173
-9.93	265.476015179399
-9.92	262.305398422977
-9.91	259.892738786792
-9.9	262.101807121259
-9.89	257.625289226698
-9.88	268.521344516413
-9.87	258.656681552574
-9.86	262.030519030902
-9.85	253.763334940746
-9.84	255.722081605652
-9.83	261.18690869357
-9.82	257.472560343974
-9.81	258.412600965713
-9.8	259.283883948599
-9.79	259.255627679096
-9.78	254.90944252682
-9.77	255.896985882753
-9.76	260.596991794234
-9.75	249.678822725899
-9.74	255.783268731181
-9.73	250.01151310765
-9.72	249.715057504757
-9.71	250.237026226254
-9.7	253.807787122169
-9.69	250.227623937362
-9.68	251.657658489797
-9.67	247.324518623229
-9.66	240.791800025591
-9.65	250.683717873505
-9.64	245.896340792612
-9.63	243.38378449937
-9.62	243.878454680568
-9.61	244.275502231164
-9.6	246.233056601126
-9.59	242.768418982187
-9.58	244.459675588487
-9.57	242.798856366791
-9.56	242.5989325821
-9.55	244.66965376003
-9.54	244.690048521361
-9.53	242.559104232079
-9.52	238.866631242147
-9.51	246.355295215119
-9.5	241.476011945389
-9.49	239.862473360624
-9.48	237.176765370234
-9.47	239.872468921526
-9.46	236.420697066738
-9.45	238.519424666255
-9.44	234.600034638242
-9.43	238.528048243531
-9.42	236.986100596039
-9.41	236.55404518286
-9.4	236.112121753486
-9.39	233.484283150873
-9.38	233.55865541447
-9.37	229.77248761313
-9.36	232.044611107763
-9.35	231.735065638968
-9.34	231.797336119819
-9.33	228.091558125219
-9.32	233.623984737786
-9.31	227.074751908069
-9.3	231.299531852133
-9.29	226.582483289358
-9.28	224.245514449172
-9.27	227.230177279931
-9.26	229.955659692453
-9.25	227.796019516327
-9.24	222.293054186873
-9.23	222.454186350296
-9.22	223.066398248039
-9.21	221.578483863774
-9.2	217.938925492247
-9.19	222.411100418804
-9.18	221.859063450091
-9.17	220.246336471357
-9.16	224.715899020129
-9.15	224.919806852267
-9.14	221.229304498141
-9.13	222.847644637746
-9.12	221.769347229966
-9.11	219.177095082525
-9.1	216.918858901317
-9.09	221.586196035957
-9.08	215.994329669845
-9.07	220.162360780099
-9.06	215.819461488822
-9.05	212.962579949785
-9.04	212.381887624584
-9.03	214.990404655854
-9.02	210.714901217443
-9.01	216.689849183669
-9	215.34807209323
-8.99	215.84813319794
-8.98	217.594521274695
-8.97	211.318689744415
-8.96	209.985009554385
-8.95	213.138825977283
-8.94	208.354599547159
-8.93	212.141565675717
-8.92	211.162833889164
-8.91	207.031581948236
-8.9	206.118231263146
-8.89	208.907199824402
-8.88	213.398014678008
-8.87	207.371902800751
-8.86	201.914588885589
-8.85	207.483878365701
-8.84	205.213330767125
-8.83	207.612331672164
-8.82	203.398018560349
-8.81	203.939235270214
-8.8	206.079002356351
-8.79	206.669340798876
-8.78	206.5657510131
-8.77	208.003111702141
-8.76	203.574509044404
-8.75	198.675109354679
-8.74	194.527156656171
-8.73	204.880705649861
-8.72	197.257979853014
-8.71	198.108034255177
-8.7	199.185511210202
-8.69	199.647072971403
-8.68	200.65452673925
-8.67	192.81936848455
-8.66	196.17104148167
-8.65	203.237183088081
-8.64	194.110343965394
-8.63	192.162802815588
-8.62	194.227869491034
-8.61	192.975022403012
-8.6	199.619624186199
-8.59	196.813032367348
-8.58	193.748117891841
-8.57	191.405606864674
-8.56	188.281393395673
-8.55	191.587486769367
-8.54	190.244254621017
-8.53	194.59955342038
-8.52	190.00374975371
-8.51	192.197357189219
-8.5	185.582930822908
-8.49	187.009762867762
-8.48	189.396591332725
-8.47	191.03015565914
-8.46	191.633652392165
-8.45	191.875477727222
-8.44	181.384170852713
-8.43	187.395021709795
-8.42	181.061128836302
-8.41	183.298553760758
-8.4	186.395892276822
-8.39	184.222481252322
-8.38	182.383196288679
-8.37	184.726724106476
-8.36	183.897765910668
-8.35	180.703814663606
-8.34	178.69395320381
-8.33	180.535152365625
-8.32	183.295996525424
-8.31	177.847472211295
-8.3	183.748178042539
-8.29	177.501938262256
-8.28	183.607956606644
-8.27	177.93660569565
-8.26	175.212872389853
-8.25	178.58381742278
-8.24	179.731028190957
-8.23	180.953880909208
-8.22	178.064683242339
-8.21	179.056637826872
-8.2	171.499685736616
-8.19	176.457640131571
-8.18	175.170095270653
-8.17	174.647094318948
-8.16	167.501882158853
-8.15	177.808550919869
-8.14	169.553908013398
-8.13	173.921097217467
-8.12	174.871765121897
-8.11	174.260636384575
-8.1	168.29523094734
-8.09	169.659644362817
-8.08	169.929418396676
-8.07	167.233859130848
-8.06	178.734502811921
-8.05	167.496576091817
-8.04	177.969173692082
-8.03	167.705639770858
-8.02	173.347905404039
-8.01	166.616243457878
-8	165.911535073253
-7.99	173.864526134715
-7.98	162.785522033068
-7.97	161.750618480975
-7.96	168.417725537258
-7.95	162.758588619149
-7.94	159.972022468476
-7.93	167.103245191491
-7.92	157.603180864143
-7.91	171.236973120886
-7.9	165.277561585767
-7.89	162.242808318792
-7.88	159.207133458516
-7.87	169.042163748896
-7.86	165.926549669654
-7.85	161.816693483148
-7.84	159.794105956751
-7.83	162.951397782151
-7.82	162.373246902216
-7.81	161.630458234383
-7.8	160.306578179112
-7.79	160.073861098887
-7.78	158.913547180807
-7.77	155.117074148629
-7.76	159.504269986823
-7.75	154.792736855675
-7.74	155.398210186435
-7.73	152.217030925389
-7.72	149.295317203256
-7.71	151.794628403915
-7.7	153.425506274914
-7.69	156.83539712858
-7.68	151.917064803841
-7.67	153.137026827423
-7.66	152.449276059619
-7.65	153.113863023443
-7.64	150.605100379111
-7.63	149.74697497519
-7.62	149.440507942427
-7.61	149.648640783633
-7.6	146.613299098977
-7.59	147.268882216077
-7.58	145.938991528692
-7.57	152.776288681863
-7.56	147.530847137402
-7.55	148.841885297165
-7.54	144.005982795072
-7.53	147.357729445547
-7.52	145.610751106974
-7.51	144.325407264343
-7.5	149.046252605416
-7.49	147.462780220095
-7.48	149.230354134989
-7.47	143.485718014919
-7.46	150.395323445158
-7.45	145.262846563569
-7.44	137.121524359967
-7.43	139.922657156604
-7.42	146.354564575029
-7.41	144.297081105971
-7.4	141.265999517823
-7.39	137.428145080761
-7.38	145.996333653919
-7.37	143.592292018329
-7.36	140.069925508022
-7.35	138.572362178696
-7.34	139.983241369876
-7.33	143.146096927035
-7.32	144.178456267275
-7.31	136.581831191419
-7.3	138.390516696812
-7.29	132.398514322864
-7.28	138.472632749588
-7.27	133.691260581945
-7.26	137.093482425593
-7.25	132.699034613418
-7.24	133.839321794345
-7.23	140.512206306118
-7.22	130.508162013438
-7.21	135.18553559389
-7.2	130.354297002501
-7.19	140.686230848633
-7.18	136.159148302708
-7.17	128.966361532162
-7.16	131.186460970048
-7.15	134.85545690977
-7.14	132.484334430583
-7.13	128.453840895146
-7.12	135.600766950475
-7.11	127.571540070029
-7.1	132.324570388727
-7.09	132.553350924209
-7.08	129.092791997913
-7.07	128.245120083597
-7.06	125.357531970187
-7.05	127.573570768492
-7.04	129.955655678356
-7.03	130.222316573747
-7.02	128.810439964215
-7.01	124.664344482722
-7	122.146283426103
-6.99	127.433037901753
-6.98	125.757091439064
-6.97	123.049110680236
-6.96	122.2721245556
-6.95	124.223877568624
-6.94	128.884703244605
-6.93	121.521216054894
-6.92	119.981833847637
-6.91	119.976438181001
-6.9	120.242732954848
-6.89	119.44597712527
-6.88	121.661713664583
-6.87	120.435538834909
-6.86	117.038497117966
-6.85	116.578201901034
-6.84	121.322023127951
-6.83	122.774402562201
-6.82	122.169023276487
-6.81	122.12806819514
-6.8	115.047754645457
-6.79	117.408574826776
-6.78	114.649559624289
-6.77	119.35834603537
-6.76	118.501063425605
-6.75	120.380183427107
-6.74	115.327219228915
